state,county,state_code,county_code,measure_name,measure_id,rate
NC,Edgecombe County,37,65,Diabetic screening,7,89
NC,Haywood County,37,87,Diabetic screening,7,89
NC,Craven County,37,49,Diabetic screening,7,89
WI,Wisconsin,55,0,Diabetic screening,7,89
IA,Marshall County,19,127,Diabetic screening,7,89
MN,Rice County,27,131,Diabetic screening,7,89
PA,York County,42,133,Diabetic screening,7,89
IA,Linn County,19,113,Diabetic screening,7,89
VA,James City County,51,95,Diabetic screening,7,89
KS,Reno County,20,155,Diabetic screening,7,89
WA,Okanogan County,53,47,Diabetic screening,7,89
OH,Defiance County,39,39,Diabetic screening,7,89
NC,Stanly County,37,167,Diabetic screening,7,89
KS,Saline County,20,169,Diabetic screening,7,89
KS,Shawnee County,20,177,Diabetic screening,7,89
WI,Door County,55,29,Diabetic screening,7,89
VA,Fluvanna County,51,65,Diabetic screening,7,89
MO,Platte County,29,165,Diabetic screening,7,89
IL,Stephenson County,17,177,Diabetic screening,7,89
WI,Douglas County,55,31,Diabetic screening,7,89
TN,Dickson County,47,43,Diabetic screening,7,88
WI,Waupaca County,55,135,Diabetic screening,7,88
WI,Waukesha County,55,133,Diabetic screening,7,88
NY,Wayne County,36,117,Diabetic screening,7,88
NC,Alexander County,37,3,Diabetic screening,7,88
TN,Dyer County,47,45,Diabetic screening,7,88
TX,Hood County,48,221,Diabetic screening,7,88
WI,Grant County,55,43,Diabetic screening,7,88
NC,Cabarrus County,37,25,Diabetic screening,7,88
IL,Christian County,17,21,Diabetic screening,7,88
WI,Juneau County,55,57,Diabetic screening,7,88
WI,Jefferson County,55,55,Diabetic screening,7,88
NH,New Hampshire,33,0,Diabetic screening,7,88
NC,Brunswick County,37,19,Diabetic screening,7,88
NC,Chatham County,37,37,Diabetic screening,7,88
IL,Rock Island County,17,161,Diabetic screening,7,88
NC,Beaufort County,37,13,Diabetic screening,7,88
IL,McLean County,17,113,Diabetic screening,7,88
IL,Champaign County,17,19,Diabetic screening,7,88
PA,Union County,42,119,Diabetic screening,7,88
WA,Island County,53,29,Diabetic screening,7,88
ME,Somerset County,23,25,Diabetic screening,7,88
SD,McPherson County,46,89,Diabetic screening,7,88
PA,Lebanon County,42,75,Diabetic screening,7,88
NC,Watauga County,37,189,Diabetic screening,7,88
KS,Rooks County,20,163,Diabetic screening,7,88
KS,Harvey County,20,79,Diabetic screening,7,88
VA,Frederick County,51,69,Diabetic screening,7,88
ME,Lincoln County,23,15,Diabetic screening,7,88
KS,Republic County,20,157,Diabetic screening,7,88
ND,Dickey County,38,21,Diabetic screening,7,88
MT,Wibaux County,30,109,Diabetic screening,7,88
NC,Lincoln County,37,109,Diabetic screening,7,88
NC,Pitt County,37,147,Diabetic screening,7,88
NE,Nemaha County,31,127,Diabetic screening,7,88
IA,Carroll County,19,27,Diabetic screening,7,88
NC,Orange County,37,135,Diabetic screening,7,88
TN,Hawkins County,47,73,Diabetic screening,7,88
WI,Lincoln County,55,69,Diabetic screening,7,88
IL,Woodford County,17,203,Diabetic screening,7,88
NC,Macon County,37,113,Diabetic screening,7,88
MO,Christian County,29,43,Diabetic screening,7,88
NC,Wilkes County,37,193,Diabetic screening,7,88
IA,Cerro Gordo County,19,33,Diabetic screening,7,88
IA,Johnson County,19,103,Diabetic screening,7,88
OH,Champaign County,39,21,Diabetic screening,7,88
OR,Gilliam County,41,21,Diabetic screening,7,88
ME,Maine,23,0,Diabetic screening,7,88
WA,Snohomish County,53,61,Diabetic screening,7,88
MI,Oceana County,26,127,Diabetic screening,7,88
MI,Newaygo County,26,123,Diabetic screening,7,88
MI,Muskegon County,26,121,Diabetic screening,7,88
MN,Anoka County,27,3,Diabetic screening,7,88
MA,Hampshire County,25,15,Diabetic screening,7,88
MN,Steele County,27,147,Diabetic screening,7,88
MN,Winona County,27,169,Diabetic screening,7,88
MA,Franklin County,25,11,Diabetic screening,7,88
MN,Wabasha County,27,157,Diabetic screening,7,88
ME,Hancock County,23,9,Diabetic screening,7,88
OR,Hood River County,41,27,Diabetic screening,7,88
OR,Jackson County,41,29,Diabetic screening,7,88
MI,Delta County,26,41,Diabetic screening,7,88
MI,Cheboygan County,26,31,Diabetic screening,7,88
MI,Alcona County,26,1,Diabetic screening,7,88
MI,Grand Traverse County,26,55,Diabetic screening,7,88
ND,Eddy County,38,27,Diabetic screening,7,88
MI,Ottawa County,26,139,Diabetic screening,7,88
MN,Mower County,27,99,Diabetic screening,7,88
WA,Garfield County,53,23,Diabetic screening,7,88
MN,Fillmore County,27,45,Diabetic screening,7,88
MN,Douglas County,27,41,Diabetic screening,7,88
VA,Waynesboro city,51,820,Diabetic screening,7,88
MN,Dodge County,27,39,Diabetic screening,7,88
WI,Taylor County,55,119,Diabetic screening,7,88
WI,Shawano County,55,115,Diabetic screening,7,88
WI,Monroe County,55,81,Diabetic screening,7,88
VT,Addison County,50,1,Diabetic screening,7,88
VT,Vermont,50,0,Diabetic screening,7,88
VT,Rutland County,50,21,Diabetic screening,7,88
NY,Onondaga County,36,67,Diabetic screening,7,88
WI,Rock County,55,105,Diabetic screening,7,88
WI,Racine County,55,101,Diabetic screening,7,87
WI,Rusk County,55,107,Diabetic screening,7,87
WI,St. Croix County,55,109,Diabetic screening,7,87
NY,Ontario County,36,69,Diabetic screening,7,87
NY,Saratoga County,36,91,Diabetic screening,7,87
VT,Lamoille County,50,15,Diabetic screening,7,87
VT,Grand Isle County,50,13,Diabetic screening,7,87
WI,Sauk County,55,111,Diabetic screening,7,87
NY,Clinton County,36,19,Diabetic screening,7,87
VT,Windsor County,50,27,Diabetic screening,7,87
VT,Windham County,50,25,Diabetic screening,7,87
WI,Milwaukee County,55,79,Diabetic screening,7,87
WI,Marinette County,55,75,Diabetic screening,7,87
NH,Strafford County,33,17,Diabetic screening,7,87
NH,Rockingham County,33,15,Diabetic screening,7,87
MN,Cook County,27,31,Diabetic screening,7,87
MN,Clay County,27,27,Diabetic screening,7,87
MN,Chisago County,27,25,Diabetic screening,7,87
MI,Gratiot County,26,57,Diabetic screening,7,87
MI,Montcalm County,26,117,Diabetic screening,7,87
MI,Missaukee County,26,113,Diabetic screening,7,87
MI,Marquette County,26,103,Diabetic screening,7,87
MI,Livingston County,26,93,Diabetic screening,7,87
MI,Roscommon County,26,143,Diabetic screening,7,87
MN,Norman County,27,107,Diabetic screening,7,87
MN,Nobles County,27,105,Diabetic screening,7,87
MN,Meeker County,27,93,Diabetic screening,7,87
MN,Marshall County,27,89,Diabetic screening,7,87
MN,Freeborn County,27,47,Diabetic screening,7,87
MN,Crow Wing County,27,35,Diabetic screening,7,87
MN,Cottonwood County,27,33,Diabetic screening,7,87
MN,Brown County,27,15,Diabetic screening,7,87
MN,Minnesota,27,0,Diabetic screening,7,87
MI,Wexford County,26,165,Diabetic screening,7,87
MA,Middlesex County,25,17,Diabetic screening,7,87
MA,Barnstable County,25,1,Diabetic screening,7,87
MA,Massachusetts,25,0,Diabetic screening,7,87
MN,Yellow Medicine County,27,173,Diabetic screening,7,87
MN,Traverse County,27,155,Diabetic screening,7,87
MN,Swift County,27,151,Diabetic screening,7,87
WA,Douglas County,53,17,Diabetic screening,7,87
WA,Cowlitz County,53,15,Diabetic screening,7,87
MN,Kandiyohi County,27,67,Diabetic screening,7,87
MN,Kanabec County,27,65,Diabetic screening,7,87
MN,Houston County,27,55,Diabetic screening,7,87
MN,Hennepin County,27,53,Diabetic screening,7,87
MI,Alpena County,26,7,Diabetic screening,7,87
MI,Clinton County,26,37,Diabetic screening,7,87
MI,Charlevoix County,26,29,Diabetic screening,7,87
VA,Russell County,51,167,Diabetic screening,7,87
VA,Rockbridge County,51,163,Diabetic screening,7,87
WA,Wahkiakum County,53,69,Diabetic screening,7,87
WA,Spokane County,53,63,Diabetic screening,7,87
ND,Logan County,38,47,Diabetic screening,7,87
ND,Grand Forks County,38,35,Diabetic screening,7,87
ND,Emmons County,38,29,Diabetic screening,7,87
MN,Lyon County,27,83,Diabetic screening,7,87
MN,Sherburne County,27,141,Diabetic screening,7,87
MN,Rock County,27,133,Diabetic screening,7,87
MN,Ramsey County,27,123,Diabetic screening,7,87
WA,King County,53,33,Diabetic screening,7,87
VA,Roanoke County,51,161,Diabetic screening,7,87
VA,Patrick County,51,141,Diabetic screening,7,87
ME,York County,23,31,Diabetic screening,7,87
ME,Oxford County,23,17,Diabetic screening,7,87
KY,Shelby County,21,211,Diabetic screening,7,87
PA,Lancaster County,42,71,Diabetic screening,7,87
PA,Juniata County,42,67,Diabetic screening,7,87
VA,Madison County,51,113,Diabetic screening,7,87
PA,Centre County,42,27,Diabetic screening,7,87
PA,Berks County,42,11,Diabetic screening,7,87
PA,Adams County,42,1,Diabetic screening,7,87
OR,Linn County,41,43,Diabetic screening,7,87
OR,Lincoln County,41,41,Diabetic screening,7,87
SD,Lincoln County,46,83,Diabetic screening,7,87
KS,Thomas County,20,193,Diabetic screening,7,87
SD,Hamlin County,46,57,Diabetic screening,7,87
SD,Faulk County,46,49,Diabetic screening,7,87
SD,Edmunds County,46,45,Diabetic screening,7,87
VA,Louisa County,51,109,Diabetic screening,7,87
NC,Wake County,37,183,Diabetic screening,7,87
NC,Vance County,37,181,Diabetic screening,7,87
NC,Transylvania County,37,175,Diabetic screening,7,87
NC,Surry County,37,171,Diabetic screening,7,87
NC,Rowan County,37,159,Diabetic screening,7,87
MN,Stearns County,27,145,Diabetic screening,7,87
ND,Steele County,38,91,Diabetic screening,7,87
ND,Sheridan County,38,83,Diabetic screening,7,87
ND,Sargent County,38,81,Diabetic screening,7,87
ND,Pierce County,38,69,Diabetic screening,7,87
ND,Oliver County,38,65,Diabetic screening,7,87
CO,Mesa County,8,77,Diabetic screening,7,87
CO,Lincoln County,8,73,Diabetic screening,7,87
SD,Aurora County,46,3,Diabetic screening,7,87
KY,Jessamine County,21,113,Diabetic screening,7,87
KY,Marion County,21,155,Diabetic screening,7,87
KY,Madison County,21,151,Diabetic screening,7,87
IA,Pottawattamie County,19,155,Diabetic screening,7,87
KS,Chase County,20,17,Diabetic screening,7,87
KS,Bourbon County,20,11,Diabetic screening,7,87
TN,Bradley County,47,11,Diabetic screening,7,87
TN,Anderson County,47,1,Diabetic screening,7,87
KS,Cloud County,20,29,Diabetic screening,7,87
KS,McPherson County,20,113,Diabetic screening,7,87
KS,Kiowa County,20,97,Diabetic screening,7,87
KS,Ottawa County,20,143,Diabetic screening,7,87
KS,Mitchell County,20,123,Diabetic screening,7,87
IA,Jasper County,19,99,Diabetic screening,7,87
IA,Jackson County,19,97,Diabetic screening,7,87
IA,Iowa County,19,95,Diabetic screening,7,87
VA,Franklin County,51,67,Diabetic screening,7,87
CT,Tolland County,9,13,Diabetic screening,7,87
NC,Iredell County,37,97,Diabetic screening,7,87
NC,Hyde County,37,95,Diabetic screening,7,87
MT,Prairie County,30,79,Diabetic screening,7,87
MT,Sweet Grass County,30,97,Diabetic screening,7,87
ND,Cavalier County,38,19,Diabetic screening,7,87
MO,Cape Girardeau County,29,31,Diabetic screening,7,87
ND,Barnes County,38,3,Diabetic screening,7,87
NC,Yadkin County,37,197,Diabetic screening,7,87
NC,Wilson County,37,195,Diabetic screening,7,87
IA,Pocahontas County,19,151,Diabetic screening,7,87
IA,Monroe County,19,135,Diabetic screening,7,87
IA,Wayne County,19,185,Diabetic screening,7,87
IA,Sac County,19,161,Diabetic screening,7,87
IA,Bremer County,19,17,Diabetic screening,7,87
IA,Benton County,19,11,Diabetic screening,7,87
IA,Allamakee County,19,5,Diabetic screening,7,87
IA,Iowa,19,0,Diabetic screening,7,87
IA,Cherokee County,19,35,Diabetic screening,7,87
IA,Cedar County,19,31,Diabetic screening,7,87
FL,Charlotte County,12,15,Diabetic screening,7,87
NC,Guilford County,37,81,Diabetic screening,7,87
NE,Buffalo County,31,19,Diabetic screening,7,87
NE,Colfax County,31,37,Diabetic screening,7,87
NC,Nash County,37,127,Diabetic screening,7,87
NC,Montgomery County,37,123,Diabetic screening,7,87
NC,Madison County,37,115,Diabetic screening,7,87
IA,Grundy County,19,75,Diabetic screening,7,87
IA,Greene County,19,73,Diabetic screening,7,87
IA,Floyd County,19,67,Diabetic screening,7,87
IA,Madison County,19,121,Diabetic screening,7,87
IA,Lucas County,19,117,Diabetic screening,7,87
TN,Madison County,47,113,Diabetic screening,7,87
TN,Loudon County,47,105,Diabetic screening,7,87
TN,Knox County,47,93,Diabetic screening,7,87
TN,Jefferson County,47,89,Diabetic screening,7,87
IN,Gibson County,18,51,Diabetic screening,7,87
IN,Dearborn County,18,29,Diabetic screening,7,87
WI,Dunn County,55,33,Diabetic screening,7,87
NE,Red Willow County,31,145,Diabetic screening,7,87
NE,Platte County,31,141,Diabetic screening,7,87
NC,Halifax County,37,83,Diabetic screening,7,87
IN,Ohio County,18,115,Diabetic screening,7,87
TN,Cumberland County,47,35,Diabetic screening,7,87
IN,Wells County,18,179,Diabetic screening,7,87
IA,Buchanan County,19,19,Diabetic screening,7,87
TN,Sevier County,47,155,Diabetic screening,7,87
IL,Jo Daviess County,17,85,Diabetic screening,7,87
IL,Henry County,17,73,Diabetic screening,7,87
TN,Rutherford County,47,149,Diabetic screening,7,87
TN,Roane County,47,145,Diabetic screening,7,87
VA,Buckingham County,51,29,Diabetic screening,7,87
NC,Ashe County,37,9,Diabetic screening,7,87
NC,Alleghany County,37,5,Diabetic screening,7,87
WI,Pierce County,55,93,Diabetic screening,7,87
NC,Columbus County,37,47,Diabetic screening,7,87
NC,Cleveland County,37,45,Diabetic screening,7,87
NC,Catawba County,37,35,Diabetic screening,7,87
WI,Florence County,55,37,Diabetic screening,7,87
GA,Fayette County,13,113,Diabetic screening,7,87
TX,Irion County,48,235,Diabetic screening,7,87
VA,Bedford County,51,19,Diabetic screening,7,87
TN,Williamson County,47,187,Diabetic screening,7,87
WI,Kenosha County,55,59,Diabetic screening,7,87
TN,Monroe County,47,123,Diabetic screening,7,87
IL,Pike County,17,149,Diabetic screening,7,87
IL,Piatt County,17,147,Diabetic screening,7,87
IL,Ogle County,17,141,Diabetic screening,7,87
IL,Wayne County,17,191,Diabetic screening,7,87
IL,Tazewell County,17,179,Diabetic screening,7,87
WI,Waushara County,55,137,Diabetic screening,7,87
WI,Walworth County,55,127,Diabetic screening,7,87
WI,Trempealeau County,55,121,Diabetic screening,7,87
NH,Grafton County,33,9,Diabetic screening,7,87
WI,Price County,55,99,Diabetic screening,7,87
NH,Cheshire County,33,5,Diabetic screening,7,87
NY,Jefferson County,36,45,Diabetic screening,7,87
NY,Herkimer County,36,43,Diabetic screening,7,87
NY,Hamilton County,36,41,Diabetic screening,7,87
NY,Cortland County,36,23,Diabetic screening,7,87
SD,Charles Mix County,46,23,Diabetic screening,7,86
SD,Brule County,46,15,Diabetic screening,7,86
SD,Beadle County,46,5,Diabetic screening,7,86
KY,Grayson County,21,85,Diabetic screening,7,86
KY,Fayette County,21,67,Diabetic screening,7,86
NC,Burke County,37,23,Diabetic screening,7,86
WI,Polk County,55,95,Diabetic screening,7,86
WI,Marquette County,55,77,Diabetic screening,7,86
NC,North Carolina,37,0,Diabetic screening,7,86
NH,Sullivan County,33,19,Diabetic screening,7,86
NH,Carroll County,33,3,Diabetic screening,7,86
NH,Belknap County,33,1,Diabetic screening,7,86
NY,Tioga County,36,107,Diabetic screening,7,86
GA,Barrow County,13,13,Diabetic screening,7,86
NY,Sullivan County,36,105,Diabetic screening,7,86
NY,Schenectady County,36,93,Diabetic screening,7,86
SD,Hand County,46,59,Diabetic screening,7,86
SC,Newberry County,45,71,Diabetic screening,7,86
NE,Perkins County,31,135,Diabetic screening,7,86
UT,Cache County,49,5,Diabetic screening,7,86
WI,Langlade County,55,67,Diabetic screening,7,86
WI,Jackson County,55,53,Diabetic screening,7,86
WI,Iron County,55,51,Diabetic screening,7,86
SD,Jerauld County,46,73,Diabetic screening,7,86
SD,Hyde County,46,69,Diabetic screening,7,86
SD,Hutchinson County,46,67,Diabetic screening,7,86
KS,Washington County,20,201,Diabetic screening,7,86
PA,Tioga County,42,117,Diabetic screening,7,86
PA,Perry County,42,99,Diabetic screening,7,86
PA,Montgomery County,42,91,Diabetic screening,7,86
KS,Marshall County,20,117,Diabetic screening,7,86
KS,Marion County,20,115,Diabetic screening,7,86
KS,Scott County,20,171,Diabetic screening,7,86
SD,Lake County,46,79,Diabetic screening,7,86
VA,Northumberland County,51,133,Diabetic screening,7,86
CO,Crowley County,8,25,Diabetic screening,7,86
NC,Davie County,37,59,Diabetic screening,7,86
WI,Green Lake County,55,47,Diabetic screening,7,86
WI,Forest County,55,41,Diabetic screening,7,86
CO,Clear Creek County,8,19,Diabetic screening,7,86
VA,Northampton County,51,131,Diabetic screening,7,86
KS,Osborne County,20,141,Diabetic screening,7,86
CO,Gilpin County,8,47,Diabetic screening,7,86
VA,Highland County,51,91,Diabetic screening,7,86
VA,Hanover County,51,85,Diabetic screening,7,86
VA,Middlesex County,51,119,Diabetic screening,7,86
VA,Mecklenburg County,51,117,Diabetic screening,7,86
VA,Mathews County,51,115,Diabetic screening,7,86
PA,Dauphin County,42,43,Diabetic screening,7,86
PA,Clinton County,42,35,Diabetic screening,7,86
NE,Frontier County,31,63,Diabetic screening,7,86
NE,Franklin County,31,61,Diabetic screening,7,86
NE,Clay County,31,35,Diabetic screening,7,86
GA,Floyd County,13,115,Diabetic screening,7,86
NE,Furnas County,31,65,Diabetic screening,7,86
NE,Lancaster County,31,109,Diabetic screening,7,86
OR,Multnomah County,41,51,Diabetic screening,7,86
KS,Franklin County,20,59,Diabetic screening,7,86
LA,St. Mary Parish,22,101,Diabetic screening,7,86
OR,Deschutes County,41,17,Diabetic screening,7,86
OR,Curry County,41,15,Diabetic screening,7,86
OR,Clackamas County,41,5,Diabetic screening,7,86
OR,Benton County,41,3,Diabetic screening,7,86
KS,Clay County,20,27,Diabetic screening,7,86
ME,Franklin County,23,7,Diabetic screening,7,86
VA,Rockingham County,51,165,Diabetic screening,7,86
VA,Prince Edward County,51,147,Diabetic screening,7,86
TX,Navarro County,48,349,Diabetic screening,7,86
GA,Lowndes County,13,185,Diabetic screening,7,86
WI,Buffalo County,55,11,Diabetic screening,7,86
WI,Adams County,55,1,Diabetic screening,7,86
NC,Franklin County,37,69,Diabetic screening,7,86
NC,Forsyth County,37,67,Diabetic screening,7,86
NE,Burt County,31,21,Diabetic screening,7,86
IA,Wright County,19,197,Diabetic screening,7,86
IA,Worth County,19,195,Diabetic screening,7,86
IA,Winneshiek County,19,191,Diabetic screening,7,86
TN,Cheatham County,47,21,Diabetic screening,7,86
TN,Campbell County,47,13,Diabetic screening,7,86
TN,Benton County,47,5,Diabetic screening,7,86
ME,Waldo County,23,27,Diabetic screening,7,86
ME,Piscataquis County,23,21,Diabetic screening,7,86
NC,Lee County,37,105,Diabetic screening,7,86
GA,Oglethorpe County,13,221,Diabetic screening,7,86
GA,Newton County,13,217,Diabetic screening,7,86
MT,Liberty County,30,51,Diabetic screening,7,86
MT,Sheridan County,30,91,Diabetic screening,7,86
NC,Henderson County,37,89,Diabetic screening,7,86
WI,Crawford County,55,23,Diabetic screening,7,86
IA,Washington County,19,183,Diabetic screening,7,86
IA,Warren County,19,181,Diabetic screening,7,86
IA,Wapello County,19,179,Diabetic screening,7,86
IA,Sioux County,19,167,Diabetic screening,7,86
IA,Shelby County,19,165,Diabetic screening,7,86
IA,Scott County,19,163,Diabetic screening,7,86
IA,Ringgold County,19,159,Diabetic screening,7,86
IA,Poweshiek County,19,157,Diabetic screening,7,86
NC,Pender County,37,141,Diabetic screening,7,86
NC,Pamlico County,37,137,Diabetic screening,7,86
NC,Northampton County,37,131,Diabetic screening,7,86
MT,Judith Basin County,30,45,Diabetic screening,7,86
MT,Granite County,30,39,Diabetic screening,7,86
MT,Garfield County,30,33,Diabetic screening,7,86
CO,Summit County,8,117,Diabetic screening,7,86
IA,Polk County,19,153,Diabetic screening,7,86
IA,Plymouth County,19,149,Diabetic screening,7,86
IA,Monona County,19,133,Diabetic screening,7,86
IA,Jones County,19,105,Diabetic screening,7,86
VA,Gloucester County,51,73,Diabetic screening,7,86
CT,Middlesex County,9,7,Diabetic screening,7,86
MD,Howard County,24,27,Diabetic screening,7,86
MD,Carroll County,24,13,Diabetic screening,7,86
OH,Vinton County,39,163,Diabetic screening,7,86
VA,Floyd County,51,63,Diabetic screening,7,86
VA,Fauquier County,51,61,Diabetic screening,7,86
MO,Stone County,29,209,Diabetic screening,7,86
MO,Schuyler County,29,197,Diabetic screening,7,86
MO,Saline County,29,195,Diabetic screening,7,86
VA,Augusta County,51,15,Diabetic screening,7,86
VA,Appomattox County,51,11,Diabetic screening,7,86
VA,Amelia County,51,7,Diabetic screening,7,86
VA,Albemarle County,51,3,Diabetic screening,7,86
MO,Worth County,29,227,Diabetic screening,7,86
MO,Wayne County,29,223,Diabetic screening,7,86
NC,Randolph County,37,151,Diabetic screening,7,86
VA,Essex County,51,57,Diabetic screening,7,86
IA,Howard County,19,89,Diabetic screening,7,86
IA,Hardin County,19,83,Diabetic screening,7,86
IA,Hamilton County,19,79,Diabetic screening,7,86
IA,Fayette County,19,65,Diabetic screening,7,86
MA,Norfolk County,25,21,Diabetic screening,7,86
MA,Hampden County,25,13,Diabetic screening,7,86
MA,Essex County,25,9,Diabetic screening,7,86
MI,Benzie County,26,19,Diabetic screening,7,86
GA,Towns County,13,281,Diabetic screening,7,86
TX,Hemphill County,48,211,Diabetic screening,7,86
TX,Hays County,48,209,Diabetic screening,7,86
MI,Allegan County,26,5,Diabetic screening,7,86
IA,Clinton County,19,45,Diabetic screening,7,86
IA,Clayton County,19,43,Diabetic screening,7,86
CO,Sedgwick County,8,115,Diabetic screening,7,86
CT,Windham County,9,15,Diabetic screening,7,86
IA,Buena Vista County,19,21,Diabetic screening,7,86
IA,Black Hawk County,19,13,Diabetic screening,7,86
IA,Adams County,19,3,Diabetic screening,7,86
IA,Adair County,19,1,Diabetic screening,7,86
IA,Des Moines County,19,57,Diabetic screening,7,86
IA,Delaware County,19,55,Diabetic screening,7,86
IA,Dallas County,19,49,Diabetic screening,7,86
MI,Alger County,26,3,Diabetic screening,7,86
VA,Bristol city,51,520,Diabetic screening,7,86
CA,San Luis Obispo County,6,79,Diabetic screening,7,86
MO,Lincoln County,29,113,Diabetic screening,7,86
MO,Lawrence County,29,109,Diabetic screening,7,86
MO,Howell County,29,91,Diabetic screening,7,86
WV,Mineral County,54,57,Diabetic screening,7,86
GA,Union County,13,291,Diabetic screening,7,86
VA,Warren County,51,187,Diabetic screening,7,86
VA,Surry County,51,181,Diabetic screening,7,86
FL,Flagler County,12,35,Diabetic screening,7,86
IN,Warrick County,18,173,Diabetic screening,7,86
IN,Wabash County,18,169,Diabetic screening,7,86
VA,Chesterfield County,51,41,Diabetic screening,7,86
TX,Floyd County,48,153,Diabetic screening,7,86
MO,Greene County,29,77,Diabetic screening,7,86
MO,Franklin County,29,71,Diabetic screening,7,86
MO,Douglas County,29,67,Diabetic screening,7,86
ND,Burleigh County,38,15,Diabetic screening,7,86
ND,Benson County,38,5,Diabetic screening,7,86
VA,Carroll County,51,35,Diabetic screening,7,86
FL,Hardee County,12,49,Diabetic screening,7,86
VA,Shenandoah County,51,171,Diabetic screening,7,86
VA,Scott County,51,169,Diabetic screening,7,86
MA,Suffolk County,25,25,Diabetic screening,7,86
MA,Plymouth County,25,23,Diabetic screening,7,86
MI,Emmet County,26,47,Diabetic screening,7,86
MI,Eaton County,26,45,Diabetic screening,7,86
MI,Dickinson County,26,43,Diabetic screening,7,86
ND,McHenry County,38,49,Diabetic screening,7,86
ND,LaMoure County,38,45,Diabetic screening,7,86
TX,Donley County,48,129,Diabetic screening,7,86
ND,Griggs County,38,39,Diabetic screening,7,86
ND,Golden Valley County,38,33,Diabetic screening,7,86
MO,Butler County,29,23,Diabetic screening,7,86
MI,Keweenaw County,26,83,Diabetic screening,7,86
MI,Kent County,26,81,Diabetic screening,7,86
MI,Jackson County,26,75,Diabetic screening,7,86
MI,Iosco County,26,69,Diabetic screening,7,86
