state,county,state_code,county_code,year_span,measure_name,measure_id,rate
NC,Robeson County,37,155,2008,Adult obesity,11,39
MS,Marshall County,28,93,2009,Adult obesity,11,39
MS,Marshall County,28,93,2008,Adult obesity,11,39
MS,Marshall County,28,93,2010,Adult obesity,11,39
MS,Bolivar County,28,11,2009,Adult obesity,11,39
SC,Dillon County,45,33,2009,Adult obesity,11,39
MS,Bolivar County,28,11,2008,Adult obesity,11,39
MS,Clay County,28,25,2010,Adult obesity,11,39
WV,Lincoln County,54,43,2009,Adult obesity,11,39
OK,Seminole County,40,133,2010,Adult obesity,11,39
OK,Pontotoc County,40,123,2010,Adult obesity,11,39
VA,Portsmouth city,51,740,2009,Adult obesity,11,39
SC,Berkeley County,45,15,2010,Adult obesity,11,39
MS,Leflore County,28,83,2007,Adult obesity,11,39
MS,Leflore County,28,83,2009,Adult obesity,11,39
WV,Logan County,54,45,2005,Adult obesity,11,39
MS,Covington County,28,31,2010,Adult obesity,11,39
MS,Franklin County,28,37,2009,Adult obesity,11,39
LA,Bienville Parish,22,13,2010,Adult obesity,11,39
LA,Avoyelles Parish,22,9,2010,Adult obesity,11,39
LA,Natchitoches Parish,22,69,2010,Adult obesity,11,39
LA,Morehouse Parish,22,67,2010,Adult obesity,11,39
KY,Floyd County,21,71,2010,Adult obesity,11,39
AK,North Slope Borough,2,185,2009,Adult obesity,11,39
LA,Bienville Parish,22,13,2009,Adult obesity,11,39
SC,Fairfield County,45,39,2009,Adult obesity,11,39
AK,Dillingham Census Area,2,70,2008,Adult obesity,11,39
LA,Richland Parish,22,83,2010,Adult obesity,11,39
TN,Haywood County,47,75,2010,Adult obesity,11,39
TN,Hardeman County,47,69,2009,Adult obesity,11,39
GA,Terrell County,13,273,2010,Adult obesity,11,39
KY,Perry County,21,193,2009,Adult obesity,11,39
MS,Quitman County,28,119,2007,Adult obesity,11,39
SC,Marion County,45,67,2010,Adult obesity,11,39
AL,Wilcox County,1,131,2007,Adult obesity,11,39
MS,Pike County,28,113,2009,Adult obesity,11,39
MS,Pike County,28,113,2008,Adult obesity,11,39
LA,St. John the Baptist Parish,22,95,2009,Adult obesity,11,39
LA,St. John the Baptist Parish,22,95,2008,Adult obesity,11,39
MS,Tallahatchie County,28,135,2010,Adult obesity,11,39
GA,Hancock County,13,141,2010,Adult obesity,11,39
AL,Hale County,1,65,2007,Adult obesity,11,39
AL,Russell County,1,113,2009,Adult obesity,11,39
AL,Perry County,1,105,2010,Adult obesity,11,39
LA,Terrebonne Parish,22,109,2009,Adult obesity,11,39
MS,Sunflower County,28,133,2006,Adult obesity,11,39
SC,Marlboro County,45,69,2008,Adult obesity,11,39
SD,Dewey County,46,41,2008,Adult obesity,11,39
SD,Corson County,46,31,2007,Adult obesity,11,39
SD,Corson County,46,31,2008,Adult obesity,11,39
SC,Orangeburg County,45,75,2008,Adult obesity,11,39
SC,Orangeburg County,45,75,2006,Adult obesity,11,39
SD,Edmunds County,46,45,2009,Adult obesity,11,39
AL,Perry County,1,105,2006,Adult obesity,11,39
MS,Scott County,28,123,2010,Adult obesity,11,39
MS,Sharkey County,28,125,2008,Adult obesity,11,39
SD,Buffalo County,46,17,2007,Adult obesity,11,39
SD,Buffalo County,46,17,2008,Adult obesity,11,39
MI,Cheboygan County,26,31,2009,Adult obesity,11,39
SC,Williamsburg County,45,89,2008,Adult obesity,11,39
AL,Macon County,1,87,2010,Adult obesity,11,39
AL,Macon County,1,87,2006,Adult obesity,11,39
KS,Wyandotte County,20,209,2010,Adult obesity,11,39
AL,Bullock County,1,11,2009,Adult obesity,11,39
MS,Jefferson County,28,63,2004,Adult obesity,11,38
AR,Jefferson County,5,69,2009,Adult obesity,11,38
AR,Desha County,5,41,2009,Adult obesity,11,38
AR,Greene County,5,55,2010,Adult obesity,11,38
AL,Butler County,1,13,2010,Adult obesity,11,38
AL,Bullock County,1,11,2008,Adult obesity,11,38
AL,Chilton County,1,21,2010,Adult obesity,11,38
AR,Lawrence County,5,75,2010,Adult obesity,11,38
AL,Marengo County,1,91,2006,Adult obesity,11,38
AL,Macon County,1,87,2004,Adult obesity,11,38
LA,St. Mary Parish,22,101,2010,Adult obesity,11,38
LA,St. Mary Parish,22,101,2009,Adult obesity,11,38
KS,Wyandotte County,20,209,2009,Adult obesity,11,38
KY,Grant County,21,81,2009,Adult obesity,11,38
SC,Hampton County,45,49,2008,Adult obesity,11,38
MS,Yalobusha County,28,161,2009,Adult obesity,11,38
MS,Attala County,28,7,2010,Adult obesity,11,38
MS,Attala County,28,7,2009,Adult obesity,11,38
MS,Attala County,28,7,2007,Adult obesity,11,38
NC,Northampton County,37,131,2007,Adult obesity,11,38
LA,Lafourche Parish,22,57,2010,Adult obesity,11,38
FL,Hamilton County,12,47,2009,Adult obesity,11,38
SD,Bennett County,46,7,2010,Adult obesity,11,38
AL,Marengo County,1,91,2008,Adult obesity,11,38
AR,Crittenden County,5,35,2010,Adult obesity,11,38
AR,Crittenden County,5,35,2009,Adult obesity,11,38
AR,Miller County,5,91,2009,Adult obesity,11,38
MS,Issaquena County,28,55,2010,Adult obesity,11,38
MS,Issaquena County,28,55,2008,Adult obesity,11,38
MS,Kemper County,28,69,2009,Adult obesity,11,38
MS,Kemper County,28,69,2008,Adult obesity,11,38
MS,Tunica County,28,143,2005,Adult obesity,11,38
WV,Wirt County,54,105,2010,Adult obesity,11,38
WV,Wirt County,54,105,2009,Adult obesity,11,38
NC,Halifax County,37,83,2010,Adult obesity,11,38
NC,Halifax County,37,83,2009,Adult obesity,11,38
LA,Iberville Parish,22,47,2010,Adult obesity,11,38
LA,Caldwell Parish,22,21,2009,Adult obesity,11,38
TN,Hardeman County,47,69,2008,Adult obesity,11,38
LA,St. Landry Parish,22,97,2009,Adult obesity,11,38
MS,Sharkey County,28,125,2007,Adult obesity,11,38
MI,Chippewa County,26,33,2010,Adult obesity,11,38
WV,Clay County,54,15,2010,Adult obesity,11,38
IN,Clay County,18,21,2010,Adult obesity,11,38
TN,Hardeman County,47,69,2007,Adult obesity,11,38
GA,Terrell County,13,273,2009,Adult obesity,11,38
KY,Breathitt County,21,25,2008,Adult obesity,11,38
MS,Wilkinson County,28,157,2007,Adult obesity,11,38
SC,Clarendon County,45,27,2010,Adult obesity,11,38
NC,Edgecombe County,37,65,2007,Adult obesity,11,38
SC,Lee County,45,61,2009,Adult obesity,11,38
GA,Jefferson County,13,163,2010,Adult obesity,11,38
LA,Allen Parish,22,3,2010,Adult obesity,11,38
LA,Allen Parish,22,3,2009,Adult obesity,11,38
AL,Lawrence County,1,79,2010,Adult obesity,11,38
AL,Lawrence County,1,79,2009,Adult obesity,11,38
MO,Buchanan County,29,21,2010,Adult obesity,11,38
MS,Scott County,28,123,2009,Adult obesity,11,38
SC,Bamberg County,45,9,2008,Adult obesity,11,38
SC,Orangeburg County,45,75,2007,Adult obesity,11,38
KS,Jefferson County,20,87,2009,Adult obesity,11,38
MS,Claiborne County,28,21,2005,Adult obesity,11,38
NC,Bertie County,37,15,2009,Adult obesity,11,38
KY,Johnson County,21,115,2009,Adult obesity,11,38
IN,Howard County,18,67,2010,Adult obesity,11,38
MO,Pemiscot County,29,155,2009,Adult obesity,11,38
MS,Pike County,28,113,2010,Adult obesity,11,38
SD,Corson County,46,31,2006,Adult obesity,11,38
SD,Corson County,46,31,2005,Adult obesity,11,38
IN,Crawford County,18,25,2010,Adult obesity,11,38
AR,Polk County,5,113,2009,Adult obesity,11,38
AR,Phillips County,5,107,2010,Adult obesity,11,38
AR,Phillips County,5,107,2008,Adult obesity,11,38
SD,Ziebach County,46,137,2008,Adult obesity,11,38
MS,Wilkinson County,28,157,2008,Adult obesity,11,38
FL,Union County,12,125,2010,Adult obesity,11,38
WV,Lincoln County,54,43,2010,Adult obesity,11,38
WV,Lincoln County,54,43,2008,Adult obesity,11,38
WV,Logan County,54,45,2009,Adult obesity,11,38
MS,Clay County,28,25,2009,Adult obesity,11,38
MS,Washington County,28,151,2009,Adult obesity,11,38
MS,Yalobusha County,28,161,2010,Adult obesity,11,38
SC,Marion County,45,67,2009,Adult obesity,11,38
MS,Yazoo County,28,163,2010,Adult obesity,11,38
MS,Quitman County,28,119,2006,Adult obesity,11,38
AL,Wilcox County,1,131,2006,Adult obesity,11,38
VA,Petersburg city,51,730,2009,Adult obesity,11,38
AR,St. Francis County,5,123,2009,Adult obesity,11,38
OK,Grady County,40,51,2009,Adult obesity,11,38
AL,Pickens County,1,107,2010,Adult obesity,11,38
SD,Dewey County,46,41,2007,Adult obesity,11,38
AR,Chicot County,5,17,2009,Adult obesity,11,38
SD,Shannon County,46,113,2006,Adult obesity,11,38
AR,Ashley County,5,3,2010,Adult obesity,11,38
MS,Covington County,28,31,2008,Adult obesity,11,38
MS,Leflore County,28,83,2008,Adult obesity,11,38
MS,Copiah County,28,29,2008,Adult obesity,11,38
MS,Copiah County,28,29,2007,Adult obesity,11,38
LA,Vernon Parish,22,115,2010,Adult obesity,11,38
SC,Berkeley County,45,15,2009,Adult obesity,11,38
AL,Talladega County,1,121,2010,Adult obesity,11,38
AL,Hale County,1,65,2006,Adult obesity,11,38
AL,Sumter County,1,119,2006,Adult obesity,11,38
MS,Franklin County,28,37,2007,Adult obesity,11,38
MS,Franklin County,28,37,2006,Adult obesity,11,38
AR,Sevier County,5,133,2010,Adult obesity,11,38
MS,Greene County,28,41,2010,Adult obesity,11,38
MS,Lawrence County,28,77,2010,Adult obesity,11,38
SD,Mellette County,46,95,2010,Adult obesity,11,38
MI,Gratiot County,26,57,2009,Adult obesity,11,38
MS,George County,28,39,2009,Adult obesity,11,38
VA,Petersburg city,51,730,2010,Adult obesity,11,38
SC,Calhoun County,45,17,2010,Adult obesity,11,38
OK,Sequoyah County,40,135,2010,Adult obesity,11,38
MS,Grenada County,28,43,2010,Adult obesity,11,38
AL,Choctaw County,1,23,2009,Adult obesity,11,38
AL,Barbour County,1,5,2008,Adult obesity,11,38
GA,Dougherty County,13,95,2010,Adult obesity,11,38
MD,Somerset County,24,39,2010,Adult obesity,11,38
KS,Bourbon County,20,11,2010,Adult obesity,11,38
LA,Morehouse Parish,22,67,2009,Adult obesity,11,38
ND,Rolette County,38,79,2008,Adult obesity,11,38
ND,Rolette County,38,79,2007,Adult obesity,11,38
ND,Rolette County,38,79,2006,Adult obesity,11,38
AK,North Slope Borough,2,185,2008,Adult obesity,11,38
AL,Choctaw County,1,23,2008,Adult obesity,11,37
KS,Brown County,20,13,2009,Adult obesity,11,37
OH,Allen County,39,3,2009,Adult obesity,11,37
OH,Allen County,39,3,2010,Adult obesity,11,37
KS,Cherokee County,20,21,2010,Adult obesity,11,37
AK,North Slope Borough,2,185,2007,Adult obesity,11,37
ND,Sioux County,38,85,2005,Adult obesity,11,37
ND,Rolette County,38,79,2005,Adult obesity,11,37
MS,Noxubee County,28,103,2006,Adult obesity,11,37
ND,Grant County,38,37,2009,Adult obesity,11,37
KY,Floyd County,21,71,2009,Adult obesity,11,37
SC,Allendale County,45,5,2010,Adult obesity,11,37
AR,Desha County,5,41,2010,Adult obesity,11,37
MS,Jefferson Davis County,28,65,2010,Adult obesity,11,37
MS,Jones County,28,67,2008,Adult obesity,11,37
AL,Bullock County,1,11,2006,Adult obesity,11,37
AL,Barbour County,1,5,2006,Adult obesity,11,37
AL,Barbour County,1,5,2009,Adult obesity,11,37
MO,Buchanan County,29,21,2009,Adult obesity,11,37
OK,Latimer County,40,77,2010,Adult obesity,11,37
AR,Cross County,5,37,2010,Adult obesity,11,37
AR,Jefferson County,5,69,2008,Adult obesity,11,37
MI,Gratiot County,26,57,2010,Adult obesity,11,37
AL,Russell County,1,113,2008,Adult obesity,11,37
SD,Lyman County,46,85,2009,Adult obesity,11,37
SD,Mellette County,46,95,2009,Adult obesity,11,37
FL,Baker County,12,3,2010,Adult obesity,11,37
SD,Roberts County,46,109,2010,Adult obesity,11,37
MS,George County,28,39,2010,Adult obesity,11,37
NE,Thurston County,31,173,2009,Adult obesity,11,37
MS,Franklin County,28,37,2008,Adult obesity,11,37
KY,Letcher County,21,133,2007,Adult obesity,11,37
MS,Yazoo County,28,163,2006,Adult obesity,11,37
SC,Newberry County,45,71,2009,Adult obesity,11,37
AL,Talladega County,1,121,2009,Adult obesity,11,37
KS,Sumner County,20,191,2010,Adult obesity,11,37
SC,Barnwell County,45,11,2009,Adult obesity,11,37
SC,Barnwell County,45,11,2010,Adult obesity,11,37
MS,Copiah County,28,29,2006,Adult obesity,11,37
VA,Hampton city,51,650,2009,Adult obesity,11,37
VA,Hampton city,51,650,2010,Adult obesity,11,37
MS,Leflore County,28,83,2005,Adult obesity,11,37
SD,Shannon County,46,113,2005,Adult obesity,11,37
AL,Tallapoosa County,1,123,2009,Adult obesity,11,37
SD,Ziebach County,46,137,2007,Adult obesity,11,37
SD,Todd County,46,121,2005,Adult obesity,11,37
SD,Todd County,46,121,2007,Adult obesity,11,37
SC,Orangeburg County,45,75,2005,Adult obesity,11,37
LA,De Soto Parish,22,31,2010,Adult obesity,11,37
KY,Lincoln County,21,137,2010,Adult obesity,11,37
WA,Adams County,53,1,2009,Adult obesity,11,37
WA,Adams County,53,1,2010,Adult obesity,11,37
AR,Chicot County,5,17,2010,Adult obesity,11,37
MS,Lauderdale County,28,75,2010,Adult obesity,11,37
OK,Grady County,40,51,2010,Adult obesity,11,37
SD,Hyde County,46,69,2009,Adult obesity,11,37
LA,De Soto Parish,22,31,2009,Adult obesity,11,37
MS,Grenada County,28,43,2009,Adult obesity,11,37
LA,St. Helena Parish,22,91,2009,Adult obesity,11,37
SC,Laurens County,45,59,2009,Adult obesity,11,37
MS,Tallahatchie County,28,135,2006,Adult obesity,11,37
MS,Tallahatchie County,28,135,2008,Adult obesity,11,37
MS,Tallahatchie County,28,135,2009,Adult obesity,11,37
MS,Washington County,28,151,2008,Adult obesity,11,37
WV,McDowell County,54,47,2010,Adult obesity,11,37
VA,Sussex County,51,183,2010,Adult obesity,11,37
NC,Bertie County,37,15,2007,Adult obesity,11,37
MS,Lincoln County,28,85,2008,Adult obesity,11,37
MS,Lincoln County,28,85,2010,Adult obesity,11,37
MS,Lowndes County,28,87,2009,Adult obesity,11,37
OK,Pontotoc County,40,123,2009,Adult obesity,11,37
OK,Pottawatomie County,40,125,2010,Adult obesity,11,37
SC,Colleton County,45,29,2010,Adult obesity,11,37
AL,Crenshaw County,1,41,2009,Adult obesity,11,37
LA,Avoyelles Parish,22,9,2009,Adult obesity,11,37
TN,Carroll County,47,17,2009,Adult obesity,11,37
LA,Tangipahoa Parish,22,105,2010,Adult obesity,11,37
WA,Cowlitz County,53,15,2009,Adult obesity,11,37
WA,Cowlitz County,53,15,2010,Adult obesity,11,37
AR,Poinsett County,5,111,2009,Adult obesity,11,37
IN,Crawford County,18,25,2009,Adult obesity,11,37
MS,Sharkey County,28,125,2006,Adult obesity,11,37
SD,Corson County,46,31,2004,Adult obesity,11,37
AL,Pike County,1,109,2007,Adult obesity,11,37
AL,Pike County,1,109,2009,Adult obesity,11,37
KY,Rockcastle County,21,203,2010,Adult obesity,11,37
GA,Randolph County,13,243,2010,Adult obesity,11,37
MI,Barry County,26,15,2010,Adult obesity,11,37
MS,Yazoo County,28,163,2008,Adult obesity,11,37
LA,St. Helena Parish,22,91,2010,Adult obesity,11,37
MI,Jackson County,26,75,2009,Adult obesity,11,37
WV,Wyoming County,54,109,2010,Adult obesity,11,37
TN,Cocke County,47,29,2009,Adult obesity,11,37
OK,Beckham County,40,9,2010,Adult obesity,11,37
TN,Fayette County,47,47,2010,Adult obesity,11,37
MS,Pike County,28,113,2007,Adult obesity,11,37
WV,Mason County,54,53,2009,Adult obesity,11,37
WV,Mason County,54,53,2010,Adult obesity,11,37
KY,Laurel County,21,125,2009,Adult obesity,11,37
KY,Lawrence County,21,127,2010,Adult obesity,11,37
KY,Knott County,21,119,2010,Adult obesity,11,37
TN,Hardeman County,47,69,2010,Adult obesity,11,37
NC,Edgecombe County,37,65,2010,Adult obesity,11,37
WV,Mingo County,54,59,2006,Adult obesity,11,37
MS,Chickasaw County,28,17,2010,Adult obesity,11,37
KY,Johnson County,21,115,2006,Adult obesity,11,37
NC,Bladen County,37,17,2009,Adult obesity,11,37
TN,Gibson County,47,53,2009,Adult obesity,11,37
TN,Gibson County,47,53,2010,Adult obesity,11,37
SC,Lee County,45,61,2007,Adult obesity,11,37
SC,Lee County,45,61,2008,Adult obesity,11,37
MS,Scott County,28,123,2006,Adult obesity,11,37
LA,Terrebonne Parish,22,109,2008,Adult obesity,11,37
WV,Gilmer County,54,21,2009,Adult obesity,11,37
MO,Shannon County,29,203,2010,Adult obesity,11,37
AR,Ouachita County,5,103,2009,Adult obesity,11,37
MS,Wayne County,28,153,2010,Adult obesity,11,37
GA,Jefferson County,13,163,2009,Adult obesity,11,37
IN,Owen County,18,119,2010,Adult obesity,11,37
NC,Edgecombe County,37,65,2005,Adult obesity,11,37
SC,Clarendon County,45,27,2009,Adult obesity,11,37
MS,Wilkinson County,28,157,2005,Adult obesity,11,37
AL,Dallas County,1,47,2005,Adult obesity,11,37
NC,Edgecombe County,37,65,2008,Adult obesity,11,37
GA,Sumter County,13,261,2010,Adult obesity,11,37
KY,Pike County,21,195,2009,Adult obesity,11,37
KY,Pike County,21,195,2010,Adult obesity,11,37
FL,Hardee County,12,49,2009,Adult obesity,11,37
SC,Sumter County,45,85,2009,Adult obesity,11,37
MS,Sharkey County,28,125,2005,Adult obesity,11,37
MS,Hinds County,28,49,2010,Adult obesity,11,37
MS,Humphreys County,28,53,2005,Adult obesity,11,37
MS,Issaquena County,28,55,2006,Adult obesity,11,37
WV,Clay County,54,15,2009,Adult obesity,11,37
MS,Kemper County,28,69,2006,Adult obesity,11,37
MS,Kemper County,28,69,2007,Adult obesity,11,37
OK,Jefferson County,40,67,2010,Adult obesity,11,37
FL,Gadsden County,12,39,2010,Adult obesity,11,37
NC,Halifax County,37,83,2008,Adult obesity,11,37
LA,Iberville Parish,22,47,2009,Adult obesity,11,37
KY,Jackson County,21,109,2010,Adult obesity,11,37
MS,Marion County,28,91,2010,Adult obesity,11,37
LA,Iberia Parish,22,45,2010,Adult obesity,11,37
AK,Dillingham Census Area,2,70,2007,Adult obesity,11,37
TN,Lauderdale County,47,97,2010,Adult obesity,11,37
LA,Sabine Parish,22,85,2010,Adult obesity,11,37
GA,Warren County,13,301,2010,Adult obesity,11,37
MS,Issaquena County,28,55,2007,Adult obesity,11,37
MS,Issaquena County,28,55,2009,Adult obesity,11,37
IN,Wabash County,18,169,2010,Adult obesity,11,37
SD,Bennett County,46,7,2009,Adult obesity,11,37
FL,Hamilton County,12,47,2010,Adult obesity,11,37
TN,McNairy County,47,109,2009,Adult obesity,11,37
KY,Garrard County,21,79,2010,Adult obesity,11,37
MS,Amite County,28,5,2007,Adult obesity,11,37
